OrdersID,Order No,Part Number,Part Name,Operation Number,Operation Name,Resource Group,Required Resource,Setup Time,Time Per Item,Sales Order,Quantity,Due Date,Batch Time,Process Time Type,Tonnage,Cycle Type,Volume Occupancy,Klin Type,Firing buffer,MTS/MTO,MTS/MTO priority,Que Time,Pressing buffer,Wheel Dia,Wheel thickness,Week start,pressing batch+date
1,120192756,123456789,product_name,100,Mixer Vitrified 80 Kg Single Bowl 1st,MIXER,Select From Group,25,18.483,197600270,120,27-09-2025,,Time Per Item,,,103.2,,,,,,,TS606,,,02-09-2025
2,120192756,123456789,product_name,200,Press Stones 300 Ton 1st A Arm,PRESS,Select From Group,15,298.617,197600270,120,27-09-2025,,Time Per Item,,,103.2,,,,,,,TS606,,,02-09-2025
3,120192756,123456789,product_name,201,Press Stones 300 Ton 1st B Arm,PRESS,Select From Group,0,0,197600270,120,27-09-2025,,Time Per Item,,,103.2,,,,,,,TS606,,,02-09-2025
4,120192756,123456789,product_name,290,Loading PTK,LOADPTK,Select From Group,0,0,197600270,120,27-09-2025,,Time Per Item,,,103.2,,,,,,,TS606,,,02-09-2025
5,120192756,123456789,product_name,291,Loading Bickley,LOADBICK,Select From Group,0,0,197600270,120,27-09-2025,,Time Per Item,,,103.2,,,,,,,TS606,,,02-09-2025
6,120192756,123456789,product_name,300,PTK Tunnel Kilns,TUNELKLN,Select From Group,0,10080,197600270,120,27-09-2025,10080,Time Per Batch,,HT093,103.2,Tunnel,,,,,,TS606,,,02-09-2025
7,120192756,123456789,product_name,310,Unloading PTK,ULDPTK,Select From Group,0,0,197600270,120,27-09-2025,,Time Per Item,,,103.2,,,,,,,TS606,,,02-09-2025
8,120192756,123456789,product_name,311,Unloading bickley,ULDBICK,Select From Group,0,0,197600270,120,27-09-2025,,Time Per Item,,,103.2,,,,,,,TS606,,,02-09-2025
9,120192756,123456789,product_name,390,Pre inspection,PREINSPC,Select From Group,0,4,197600270,120,27-09-2025,,Time Per Item,,,103.2,,,,,,,TS606,,,02-09-2025
10,120192756,123456789,product_name,395,KILN ACKNOWLEDGE,KILNACK,Select From Group,0,0,197600270,120,27-09-2025,,Time Per Item,,,103.2,,,,,,,TS606,,,02-09-2025
11,120192756,123456789,product_name,400,Finishing Hand Cleaning,FINISHING,Select From Group,0,120,197600270,120,27-09-2025,,Time Per Item,,,103.2,,,,,,,TS606,,,02-09-2025
12,120192756,123456789,product_name,490,Final inspection,FININSPC,Select From Group,0,3,197600270,120,27-09-2025,,Time Per Item,,,103.2,,,,,,,TS606,,,02-09-2025
13,120192756,123456789,product_name,500,Packing Stones 1st All,PACKING,Select From Group,0,178.8,197600270,120,27-09-2025,,Time Per Item,,,103.2,,,,,,,TS606,,,02-09-2025
14,120194086,123456789,product_name,100,Mixer Vitrified 2 Kg Baby mixer 1st,MIXER,Select From Group,20,11.233,197600270,200,27-09-2025,,Time Per Item,,,0.6,,,,,,,SLAB DIE,,,02-09-2025
15,120194086,123456789,product_name,200,Press Stones 300 Ton 1st A Arm,PRESS,Select From Group,15,7.467,197600270,200,27-09-2025,,Time Per Item,,,0.6,,,,,,,SLAB DIE,,,02-09-2025
16,120194086,123456789,product_name,290,Loading PTK,LOADPTK,Select From Group,0,0,197600270,200,27-09-2025,,Time Per Item,,,0.6,,,,,,,SLAB DIE,,,02-09-2025
17,120194086,123456789,product_name,291,Loading Bickley,LOADBICK,Select From Group,0,0,197600270,200,27-09-2025,,Time Per Item,,,0.6,,,,,,,SLAB DIE,,,02-09-2025
18,120194086,123456789,product_name,300,PTK Tunnel Kilns,TUNELKLN,Select From Group,0,10080,197600270,200,27-09-2025,10080,Time Per Batch,,HT093,0.6,Tunnel,,,,,,SLAB DIE,,,02-09-2025
19,120194086,123456789,product_name,310,Unloading PTK,ULDPTK,Select From Group,0,0,197600270,200,27-09-2025,,Time Per Item,,,0.6,,,,,,,SLAB DIE,,,02-09-2025
20,120194086,123456789,product_name,311,Unloading bickley,ULDBICK,Select From Group,0,0,197600270,200,27-09-2025,,Time Per Item,,,0.6,,,,,,,SLAB DIE,,,02-09-2025
